"","HHID","PN","MSUBHH","LSUBHH","MPN_SP","MCSR","MFAMR","MFINR","MX003_R","MX007_R","MZ077_R","MX060_R","MX065_R","MZ066_R","MX004_R","MX067_R","MZ008_R","MZ009_R","MZ010_R","MZ011_R","MZ012_R","MZ013_R","MZ014_R","MZ015_R","MZ016_R","MZ142_1","MZ143_1","MZ200_1","MZ142_2","MZ143_2","MZ200_2","MZ142_3","MZ143_3","MZ200_3","MZ142_4","MZ143_4","MZ200_4","MZ076","MZ078","MZ080","MZ081","MZ087","MZ089","MZ090","MZ092","MZ093","MZ095","MZ096","MZ098","MZ099","MZ100","MZ101","MZ102","MZ103","MZ104","MZ105","MZ106","MZ107","MZ108","MZ110","MZ112","MZ113","MZ114","MZ117","MZ118","MZ119","MZ120","MZ122","MZ123","MZ124","MZ125","MZ126","MZ127","MZ133","MZ134","MZ136","MZ137","MZ138","MZ151","MZ153","MZ154","MZ155","MZ156","MZ157","MZ158","MZ159","MZ160","MZ161","MZ162","MZ163","MZ164","MZ165","MZ166","MZ167","MZ168","MZ169","MZ170","MZ171","MZ172","MZ173","MZ174","MZ175","MZ176","MZ177","MZ178","MZ179","MZ180","MZ181","MZ182","MZ183","MZ184","MZ185","MZ186","MZ187","MZ188","MZ189","MZ190","MZ198","MZ199","MZ201","MZ204","MZ205","MZ206","MZ211","MZ212","MZ213","MZ216","MZ219","MZ230","MZ231","MZ232","MX090_R","MX501_R","MX502_R","MX503_R","MX504_R","MX505_R","MX506_R","MX507_R","MX508_R","MX509_R","MX510_R","MX511_R","MX512_R","MX513_R","MX514_R","MX515_R","MX516_R","MX517_R","MX518_R","MX519_R","MX520_R","MX521_R","MX522_R","MX523_R","MX525_R","MZ240","MZ241","MZ242","MZ244","MZ246","MZ255","MZ256","MZ257","MVDATE","MVERSION","year"
"1","010097","040","0","0",NA,1,1,1,1,3,3,2,6,6,1,1948,5,3,4,4,1,1,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,3,5,5,5,2008,1,NA,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,0,5,5,5,5,5,5,5,1,NA,5,5,3,NA,NA,NA,5,0,0,800000,800000,0,0,0,0,0,0,400000,400000,0,0,0,0,1000000,1000000,0,0,0,0,0,0,0,0,2000,2000,0,0,4000,4000,0,0,0,0,3000,3000,0,0,5,NA,5,1,NA,NA,NA,11,5,1,5,5,1,1,1,2,1,1,1,1,2,1,1,3,1,2,2,3,2,3,2,2,3,65,52,2,1,5,5,1,5,114,1,NA,NA,7,5.1,"10"
"2","010109","030","0","0",NA,1,1,1,1,3,3,1,6,6,1,1929,5,7,4,4,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,3,5,5,4,2008,1,NA,1,5,5,1,5,5,5,5,5,5,5,5,5,1,6,5,5,5,1,5,1,1,1,NA,5,5,3,1,20,52,5,0,0,500000,500000,0,0,0,0,0,0,600000,600000,0,0,0,0,700000,700000,0,0,0,0,0,0,0,0,20000,20000,0,0,25000,25000,0,0,0,0,2000,2000,1000000,1000000,1,NA,5,NA,NA,1,2,17,5,5,5,5,3,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,3,2,1,1,41,58,7,1,1,5,1,5,924,1,NA,NA,7,5.1,"10"
"3","010404","010","0","0",NA,1,1,1,1,3,3,2,6,6,10,1939,5,5,3,3,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,NA,3,5,5,3,2008,1,NA,5,5,5,1,5,5,5,5,5,5,1,5,5,1,6,5,5,5,1,5,5,1,1,NA,5,5,1,NA,NA,NA,5,0,0,700000,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,32000,0,0,18000,18000,0,0,0,0,0,0,0,0,1,NA,5,1,1,0,0,12,5,5,5,5,3,1,2,1,1,2,1,1,1,1,2,3,2,2,2,3,2,3,2,2,1,23,7,7,2,5,5,1,NA,963,1,NA,NA,7,5.1,"10"
"4","010453","010","0","0","020",1,1,1,1,3,3,2,1,1,4,1934,5,6,2,3,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,1,5,5,5,2008,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,1,5,5,1,1,1,5,5,1,NA,NA,NA,5,0,0,480000,480000,0,0,0,0,0,0,185000,185000,2000,2000,0,0,100000,100000,5000,5000,0,0,0,0,0,0,20000,20000,2500,2500,15000,15000,0,0,0,0,0,0,0,0,1,NA,1,1,1,1,2,12,5,1,5,5,3,1,1,2,2,2,2,2,1,1,2,3,1,3,3,2,2,2,2,2,2,78,33,3,1,5,5,1,NA,102,1,NA,NA,7,5.1,"10"
"5","010453","020","0","0","010",5,5,5,2,4,4,1,1,1,1,1932,5,2,6,1,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,3,5,5,5,2008,1,NA,5,5,5,1,5,5,5,5,5,5,5,5,5,1,3,5,5,5,1,5,5,1,1,1,5,5,1,NA,NA,NA,5,0,0,480000,480000,0,0,0,0,0,0,185000,185000,2000,2000,0,0,100000,100000,5000,5000,0,0,0,0,0,0,20000,20000,2500,2500,15000,15000,0,0,0,0,0,0,0,0,1,NA,1,1,1,0,0,12,1,1,5,5,3,2,1,1,1,1,1,2,2,1,1,3,1,3,1,1,3,1,3,3,2,37,46,6,2,5,5,1,NA,689,1,NA,NA,7,5.1,"10"
"6","011332","010","0","0","020",5,5,1,2,1,1,1,3,3,8,1931,5,7,10,1,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,5,3,5,5,5,2008,1,NA,5,5,5,1,1,5,5,1,5,1,1,5,5,1,27,5,5,5,5,5,5,1,1,1,5,5,1,NA,NA,NA,5,0,0,300000,300000,0,0,0,0,0,0,0,0,0,0,0,0,75000,75000,0,0,0,0,300000,300000,0,0,70000,70000,450000,450000,10000,10000,20000,20000,0,0,0,0,0,0,1,1995,1,1,1,0,0,12,5,1,5,5,1,2,2,2,2,1,2,2,2,2,2,1,3,2,2,1,2,3,2,2,3,15,20,5,1,1,5,1,NA,416,1,NA,NA,7,5.1,"10"
"7","011332","020","0","0","010",1,1,5,1,2,2,2,3,3,8,1940,5,10,7,4,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,5,3,5,5,5,2008,1,NA,5,5,5,1,5,5,5,5,5,5,1,5,5,1,27,5,5,5,5,5,5,1,1,1,5,5,1,NA,NA,NA,1,0,0,300000,300000,0,0,0,0,0,0,0,0,0,0,0,0,75000,75000,0,0,0,0,300000,300000,0,0,70000,70000,450000,450000,10000,10000,20000,20000,0,0,0,0,0,0,1,NA,1,1,1,0,1,11,5,1,5,5,1,1,2,2,1,2,1,2,2,2,2,3,1,3,1,3,2,2,2,2,2,42,24,1,2,5,5,1,NA,562,1,1,NA,7,5.1,"10"
"8","011341","010","0","0",NA,1,1,1,1,3,3,2,6,6,1,1939,5,8,6,2,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,3,5,5,5,2008,1,NA,5,5,5,1,5,5,5,1,5,5,1,5,1,1,7,5,5,5,1,5,1,1,1,NA,5,5,3,1,24,50,1,0,0,152000,152000,72800,72800,0,0,0,0,0,14999,0,0,0,0,0,0,0,0,0,0,1560,1560,0,0,950,950,100,100,5600,5600,22000,22000,0,0,4200,4200,0,0,1,NA,1,NA,NA,0,1,12,5,1,5,5,3,2,2,2,1,1,1,2,2,1,1,2,1,3,2,1,3,3,3,1,1,23,34,7,2,5,5,1,5,995,1,NA,NA,8,5.1,"10"
"9","012094","010","0","0","011",1,1,1,1,3,3,1,3,6,7,1937,5,8,4,4,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,2,5,5,8,2008,1,NA,5,5,5,1,5,5,5,5,5,5,1,5,5,1,14,5,5,5,5,5,5,1,1,NA,5,5,1,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,1,1,3,14,1,1,5,1,1,1,2,1,1,1,1,2,1,2,2,1,3,3,3,3,2,1,3,3,3,80,100,8,2,1,5,1,NA,558,1,NA,NA,7,5.1,"10"
"10","012094","011","0","0","010",5,5,5,2,4,4,2,3,NA,12,1942,NA,4,8,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,8,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,3,2,3,1,13,44,8,1,NA,NA,NA,NA,NA,NA,NA,NA,7,5.1,"10"
