"","HHID","PN","MSUBHH","LSUBHH","MPN_SP","MCSR","MFAMR","MFINR","MP155","MP156","MP002","MP166","MP167","MP168","MP169","MP170","MP005","MP006","MP059","MP007","MP014","MP015","MP016","MP017","MP164","MP123","MP172","MP173","MP174","MP018","MP020","MP028","MP102","MP029","MP157","MP175","MP176","MP177","MP178","MP032","MP110","MP179","MP111","MP112","MP047","MP113","MP149","MP150","MP180","MP097","MP056","MVDATE","MVERSION","year"
"1","010395","020","0","0",NA,1,1,1,15,0,1,80,NA,80,2,2,99,99,99,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,50,NA,50,30,60,20,NA,80,NA,70,NA,2,70,20,2,1,7,5.1,"10"
"2","010451","010","0","0","020",5,1,1,15,0,1,20,NA,10,2,2,80,80,20,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,NA,1,1,1,50,2,20,NA,25,NA,2,20,5,2,1,7,5.1,"10"
"3","010451","020","0","0","010",1,5,5,13,0,1,NA,NA,NA,NA,NA,90,80,10,NA,NA,NA,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,50,NA,70,10,10,70,NA,80,NA,70,NA,2,80,40,2,1,7,5.1,"10"
"4","010475","010","0","0","011",1,1,1,15,0,1,70,NA,70,2,2,100,100,75,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,75,NA,25,0,50,25,NA,0,NA,80,NA,2,80,10,1,1,7,5.1,"10"
"5","010475","011","0","0","010",5,5,5,13,0,1,NA,NA,NA,NA,NA,90,90,10,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,75,NA,75,10,50,70,NA,0,NA,10,NA,2,50,40,2,1,7,5.1,"10"
"6","010477","010","0","0","020",1,5,1,15,0,1,80,NA,50,2,2,100,90,70,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,90,NA,70,60,0,40,NA,60,NA,30,NA,2,10,10,3,1,7,5.1,"10"
"7","010477","020","0","0","010",5,1,5,9,4,1,NA,NA,NA,NA,NA,999,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,60,NA,0,NA,0,998,NA,0,NA,998,NA,1,NA,NA,3,1,8,5.1,"10"
"8","010773","020","0","0","030",5,1,5,14,1,1,NA,NA,NA,NA,NA,70,70,70,NA,75,75,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,NA,50,50,10,70,NA,998,NA,80,NA,2,80,998,3,1,2,5.1,"10"
"9","010773","030","0","0","020",1,5,1,15,0,1,70,NA,20,2,2,100,100,10,NA,60,50,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,20,NA,0,NA,20,20,NA,20,NA,70,NA,2,70,10,1,1,2,5.1,"10"
"10","010822","010","0","0","040",1,5,1,13,2,1,100,NA,100,2,2,100,100,100,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,0,NA,NA,0,998,NA,999,NA,60,NA,2,60,998,3,1,7,5.1,"10"
"11","010822","040","0","0","010",5,1,5,12,4,1,NA,NA,NA,NA,NA,100,100,100,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,999,NA,999,NA,100,NA,90,60,NA,100,NA,998,NA,999,NA,1,NA,NA,3,1,7,5.1,"10"
"12","011179","010","0","0","020",5,5,5,13,0,1,NA,NA,NA,NA,NA,80,80,80,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,90,NA,70,30,20,80,NA,60,NA,70,NA,2,70,20,2,1,2,5.1,"10"
"13","011179","020","0","0","010",1,1,1,15,0,1,10,NA,50,2,2,80,80,10,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,80,NA,80,40,10,70,NA,80,NA,80,NA,2,50,40,2,1,2,5.1,"10"
