"","HHID","PN","MSUBHH","LSUBHH","MPN_SP","MCSR","MFAMR","MFINR","MY005","MY006","MY007","MY008","MY009","MY010","MY011","MY012","MY013","MY014","MY015","MY016","MY017","MY018","MY019","MY020","MY021","MY022","MY023","MY024","MY025","MY026","MY027","MY028","MY029","MY030","MY031","MY032","MY033","MY034","MY035","MY036","MY037","MY038","MY039","MY040","MY041","MY042","MY043","MY044","MY045","MY046","MY047","MY048","MY049","MY050","MY051","MY052","MY053","MY054","MY055","MY056","MY057","MY058","MY059","MY060","MY061","MY062","MY063","MY064","MY065","MY066","MY067","MY068","MY069","MY070","MY071","MY072","MY073","MY074","MY075","MY076","MY077","MY078","MY079","MY080","MY081","MVDATE","MVERSION","year"
"1","010097","040","0","0",NA,1,1,1,204.391,66.211,316.3,600.654,NA,47.196,22.623,21.339,60.647,25.332,43.504,170.193,21.712,NA,NA,NA,NA,NA,NA,NA,2.669,79.704,16.225,33.279,69.126,41.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.635,29.756,20.611,NA,NA,NA,NA,NA,NA,16.978,28.993,28.093,NA,NA,NA,187.804,326.698,265.268,169.863,205.058,2.259,118.684,NA,NA,27.164,NA,516.752,321.398,621.069,81.516,NA,81.397,NA,213.274,55.941,4200.754,7,5.1,"10"
"2","010109","030","0","0",NA,1,1,1,471.961,129.68,1132.228,847.509,NA,49.404,21.67,24.224,73.862,21.405,33.097,184.984,32.864,69.448,7.447,8.739,10.225,22.811,10.43,59.652,0.89,79.708,22.686,60.232,95.355,83.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.118,60.106,30.757,18.285,22.746,20.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.174,552.028,1.149,330.004,519.761,2583.657,967.548,NA,NA,46.491,NA,1323.682,337.444,1361.918,91.264,NA,238.57,81.364,539.336,758.428,12625.467,7,5.1,"10"
"3","010404","010","0","0",NA,1,1,1,326.66,74.43,540.924,886.714,NA,49.209,21.435,48.177,43.726,18.821,37.927,153.37,22.986,59.364,8.118,10.654,8.391,14.165,17.757,59.085,2.794,239.868,26.868,63.478,88.66,52.518,21.196,16.921,14.993,12.414,28.267,18.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.752,325.727,37.23,343.052,145.439,3323.007,67.364,NA,NA,59.359,NA,867.311,329.926,552.669,50.841,NA,52.781,NA,441.429,887.17,10738.411,7,5.1,"10"
"4","010453","010","0","0","020",1,1,1,374.362,64.389,513.24,734.463,NA,59.188,21.814,14.087,58.115,34.798,48.117,190.086,17.898,73.347,7.709,9.022,8.854,12.222,9.384,47.191,1.95,85.288,27.228,29.871,47.981,88.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.52,21.734,12.902,NA,NA,NA,12.604,11.41,12.718,NA,NA,NA,NA,NA,NA,193.531,346.263,36.815,238,275.549,2908.165,57.755,NA,NA,24.212,NA,705.751,297.515,1244.718,152.787,NA,103.234,17.046,102.822,173.782,10180.525,7,5.1,"10"
"5","010453","020","0","0","010",5,5,5,119.954,48.245,515.058,936.995,NA,39.92,22.056,12.999,71.213,17.988,33.957,190.587,49.008,58.693,5.064,7.331,7.269,4.342,29.1,53.106,2.346,57.55,15.767,36.383,71.944,139.074,35.787,80.695,105.895,NA,NA,NA,16.454,19.62,30.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.794,NA,26.135,331.727,NA,2093.134,57.455,NA,NA,68.861,NA,678.711,251.056,NA,NA,NA,109.628,NA,176.547,171.525,6196.393,7,5.1,"10"
"6","011332","010","0","0","020",5,5,1,92.507,60.223,814.988,866.583,NA,55.422,22.734,22.744,194.442,25.255,55.683,321.422,20.46,123.529,14.78,8.926,14.51,16.542,10.247,65.005,6.76,75.785,22.302,22.438,40.716,132.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.466,NA,33.002,412.632,135.881,2.397,70.842,NA,NA,31.161,NA,757.671,310.634,1060.845,63.241,NA,156.408,116.094,280.532,81.363,5367.327,7,5.1,"10"
"7","011332","020","0","0","010",1,1,5,1092.574,94.633,828.109,1068.181,NA,57.734,23.247,36.497,208.6,23.805,46.681,349.178,43.542,86.776,13.256,35.393,59.62,11.478,21.257,141.004,10.243,78.768,23.566,33.361,52.995,77.752,26.482,31.995,28.292,NA,NA,NA,15.699,15.996,35.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.739,1205.48,29.443,387.494,NA,1.578,99.938,NA,NA,54.762,NA,1011.596,329.094,NA,NA,NA,74.546,NA,271.476,80.915,6643.909,7,5.1,"10"
"8","011341","010","0","0",NA,1,1,1,591.402,69.737,632.268,674.228,NA,44.991,22.383,23.388,48.653,17.258,24.769,131.671,22.408,56.777,7.284,6.746,7.426,16.127,11.399,48.982,19.545,57.536,16.257,60.004,79.952,53.828,30.73,27.368,24.677,NA,NA,NA,14.579,9.353,28.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.003,475.202,54.608,258.245,361.387,60.392,594.211,NA,NA,28.301,NA,834.772,352.484,985.462,77.148,NA,148.18,NA,350.58,256.231,6832.819,8,5.1,"10"
"9","012094","010","0","0","011",1,1,1,1144.82,154.302,672.575,819.923,NA,56.683,23.35,29.247,104.288,32.072,130.763,353.161,29.585,96.031,16.329,11.041,13.183,26.068,19.62,86.241,2.218,55.76,54.57,11.688,39.339,77.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.893,818.009,103.032,1371.964,411.526,2.487,173.157,NA,NA,61.82,NA,958.304,429.946,561.406,58.534,NA,41.091,NA,550.46,181.491,8539.214,7,5.1,"10"
"10","012094","011","0","0","010",5,5,5,100.862,1432.65,1204.76,1548.024,NA,69.183,23.332,25.443,152.75,93.798,111.669,468.731,37.78,155.804,15.072,10.883,40.276,38.189,11.279,115.699,10.752,107.603,47.551,63.152,133.08,166.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.873,36.781,41.217,49.631,37.278,36.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.397,NA,385.346,684.423,NA,264.301,472.181,670.492,106.341,NA,54.584,781.204,421.269,NA,NA,NA,121.216,NA,402.493,67.879,8728.017,7,5.1,"10"
