"","HHID","PN","NSUBHH","MSUBHH","NPN_SP","NCSR","NFAMR","NFINR","NP155","NP156","NP002","NP166","NP170","NP168","NP005","NP006","NP059","NP007","NP009","NP014","NP015","NP016","NP017","NP123","NP018","NP181","NP182","NP020","NP028","NP102","NP029","NP157","NP107","NP175","NP176","NP177","NP178","NP032","NP110","NP179","NP111","NP112","NP183","NP047","NP113","NP149","NP150","NP180","NP097","NP041","NP042","NP043","NP044","NP185","NP056","NVDATE","NVERSION","year"
"1","010097","040","0","0",NA,1,1,1,15,0,1,10,1,0,100,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,50,1,20,NA,NA,100,NA,100,10,NA,100,NA,50,NA,100,50,1,2,20,60,1,4,1,1,NA,1,1,4,2,"12"
"2","010109","030","0","0",NA,1,1,1,17,0,1,5,2,2,80,90,5,NA,1,25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,50,NA,50,10,10,80,NA,50,NA,25,10,NA,2,15,15,2,NA,3,NA,NA,3,1,2,2,"12"
"3","010404","010","0","0",NA,1,1,1,15,0,1,20,2,20,80,80,10,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,90,NA,40,10,10,80,NA,90,NA,70,50,2,1,NA,NA,3,NA,3,NA,NA,1,1,1,2,"12"
"4","010453","010","0","0","020",1,1,1,15,0,1,20,1,5,90,90,20,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,60,75,NA,25,0,0,70,NA,50,NA,50,50,2,1,NA,NA,3,NA,1,1,NA,2,2,1,2,"12"
"5","010453","020","0","0","010",5,5,5,14,0,1,NA,NA,NA,80,70,2,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,1,60,30,NA,20,0,5,60,NA,20,NA,60,30,NA,2,5,5,3,NA,1,1,NA,2,1,1,2,"12"
"6","011332","010","0","0","020",5,5,1,15,1,1,0,1,0,100,100,998,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,100,0,0,100,NA,0,NA,100,0,NA,2,NA,0,2,NA,2,NA,1,2,1,2,2,"12"
"7","011332","020","0","0","010",1,1,5,13,2,1,NA,NA,NA,90,100,10,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,1,60,0,998,NA,NA,10,80,NA,80,NA,80,75,NA,2,998,NA,3,NA,2,NA,5,3,1,2,2,"12"
"8","011341","010","0","0",NA,1,1,1,17,1,1,30,2,10,100,80,0,NA,1,50,30,NA,NA,NA,NA,NA,NA,50,NA,NA,40,NA,50,80,NA,20,0,30,60,NA,50,NA,50,998,NA,1,NA,NA,3,NA,3,NA,NA,3,1,3,2,"12"
"9","012094","010","1","0",NA,1,1,1,10,0,1,NA,NA,NA,75,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,0,0,NA,NA,0,0,NA,NA,NA,0,0,NA,2,NA,0,3,NA,3,NA,NA,3,1,4,2,"12"
"10","012094","011","2","0",NA,1,1,1,13,0,1,NA,NA,NA,10,10,10,NA,1,NA,NA,10,NA,NA,NA,1,1,NA,NA,NA,30,NA,50,10,NA,10,10,50,0,NA,NA,NA,50,20,NA,2,30,30,3,NA,1,5,NA,1,3,3,2,"12"
"11","012979","010","0","0","020",5,5,1,13,0,1,50,2,0,50,50,10,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,30,30,NA,0,NA,10,40,NA,NA,NA,30,50,2,1,NA,NA,3,NA,1,1,NA,1,1,4,2,"12"
"12","012979","020","0","0","010",1,1,5,13,1,1,NA,NA,NA,25,0,NA,NA,1,998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,15,0,0,NA,NA,0,5,NA,0,NA,10,25,NA,2,20,10,3,NA,1,1,NA,1,1,4,2,"12"
"13","013062","010","0","0",NA,1,1,1,16,0,1,0,1,20,0,NA,NA,40,1,NA,NA,25,NA,NA,NA,NA,NA,20,NA,NA,100,NA,75,25,NA,10,0,0,50,2,50,NA,25,30,NA,2,50,25,3,NA,1,1,NA,3,1,3,2,"12"
"14","013063","010","0","0",NA,1,1,1,15,3,1,50,1,10,79,0,NA,NA,1,90,10,NA,NA,NA,NA,NA,NA,10,NA,NA,999,NA,90,0,80,NA,NA,0,998,NA,10,NA,10,998,NA,1,NA,NA,3,NA,3,NA,NA,2,1,2,2,"12"
"15","013208","010","0","0","040",1,1,1,16,0,1,10,2,80,20,10,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,95,30,NA,20,0,0,40,NA,50,NA,60,80,NA,2,20,0,3,NA,1,1,NA,1,1,2,2,"12"
"16","013208","040","0","0","010",5,5,5,15,0,1,NA,NA,NA,100,50,0,NA,1,50,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,10,10,NA,10,10,50,50,2,50,NA,50,10,NA,2,50,50,3,NA,1,1,NA,1,1,2,2,"12"
"17","013211","010","0","0","020",1,1,1,14,0,1,20,2,20,10,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,30,20,0,100,NA,100,NA,100,0,NA,2,NA,50,3,NA,1,1,NA,3,1,3,2,"12"
"18","013211","020","0","0","010",5,5,5,11,1,1,NA,NA,NA,999,NA,NA,NA,1,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,85,70,NA,85,85,0,0,NA,NA,NA,0,5,NA,2,5,0,3,NA,1,1,NA,1,1,3,2,"12"
"19","013318","010","0","0","020",5,1,1,15,0,1,5,2,80,100,10,0,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,95,90,NA,80,60,70,70,NA,NA,NA,80,80,NA,2,85,55,3,NA,1,1,NA,1,2,4,2,"12"
"20","013318","020","0","0","010",1,5,5,13,0,1,NA,NA,NA,50,50,30,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,50,2,30,50,NA,30,20,50,20,NA,20,NA,20,50,2,1,NA,NA,1,NA,1,1,NA,1,1,4,2,"12"
"21","013418","020","1","1",NA,1,1,1,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"12"
"22","013418","010","2","2","011",1,1,1,12,0,1,NA,NA,NA,80,5,2,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,5,0,50,NA,NA,50,50,2,5,NA,50,50,2,1,NA,NA,3,NA,2,NA,1,3,1,4,2,"12"
"23","013518","040","1","1",NA,1,1,1,13,0,1,NA,NA,NA,50,10,50,NA,1,50,50,NA,NA,NA,NA,10,10,NA,NA,NA,50,2,50,10,NA,50,10,50,40,NA,NA,NA,50,50,2,1,NA,NA,3,NA,1,1,NA,3,1,4,2,"12"
"24","013671","010","0","0","020",5,5,1,12,4,1,10,2,0,999,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,998,998,NA,NA,NA,998,100,NA,10,NA,50,10,NA,2,50,0,2,NA,2,NA,8,3,1,3,2,"12"
"25","013671","020","0","0","010",1,1,5,13,0,1,NA,NA,NA,100,50,50,NA,1,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,50,NA,0,NA,0,75,NA,NA,NA,75,50,1,2,50,25,2,NA,1,1,NA,3,1,3,2,"12"
"26","013816","010","0","0","040",1,5,1,16,0,1,50,2,30,100,100,70,NA,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,60,100,NA,40,20,10,80,NA,15,NA,20,90,NA,2,80,10,1,NA,1,1,NA,1,1,1,2,"12"
"27","013816","040","0","0","010",5,1,5,14,0,1,NA,NA,NA,90,90,80,NA,1,NA,NA,10,NA,NA,NA,10,0,NA,NA,NA,99,NA,90,90,NA,90,30,0,75,NA,20,NA,20,50,1,2,30,30,2,NA,2,NA,5,3,1,1,2,"12"
"28","013817","010","1","1","011",5,5,1,16,0,1,70,2,30,90,60,30,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,80,60,NA,50,30,20,70,NA,60,NA,60,70,NA,2,70,20,2,NA,NA,NA,NA,3,1,3,2,"12"
