"","HHID","PN","NSUBHH","MSUBHH","NPN_SP","NCSR","NFAMR","NFINR","NY005","NY006","NY007","NY008","NY009","NY010","NY011","NY012","NY013","NY014","NY015","NY016","NY017","NY018","NY019","NY020","NY021","NY022","NY023","NY024","NY025","NY026","NY027","NY028","NY029","NY030","NY031","NY032","NY033","NY034","NY035","NY036","NY037","NY038","NY039","NY040","NY041","NY042","NY043","NY044","NY045","NY046","NY047","NY048","NY049","NY050","NY051","NY052","NY053","NY054","NY055","NY056","NY057","NY058","NY059","NY060","NY061","NY062","NY063","NY064","NY065","NY066","NY067","NY068","NY069","NY070","NY071","NY072","NY073","NY074","NY075","NY076","NY077","NY078","NY079","NY080","NY081","NY082","NY083","NY084","NY085","NY086","NY087","NY088","NY089","NY090","NY091","NY092","NY093","NY094","NY095","NY096","NY097","NY098","NY099","NY100","NY101","NY102","NY103","NY104","NY105","NY106","NY107","NY108","NY109","NY110","NY111","NY112","NY113","NY114","NY115","NVDATE","NVERSION","year"
"1","010097","040","0","0",NA,1,1,1,277.852,90.402,601.584,667.533,NA,51.199,22.004,12.854,58.5,18.814,67.455,185.953,21.482,NA,NA,NA,NA,NA,NA,NA,1.529,NA,17.316,66.566,95.191,141.648,13.37,19.687,25.178,NA,NA,NA,NA,NA,NA,51.605,18.018,25.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.855,387.421,291.814,214.984,3920.746,326.779,142.381,34.086,NA,NA,25.787,NA,651.067,411.591,631.942,68.921,NA,148.512,NA,320.284,411.763,9934.765,4,2,"12"
"2","010109","030","0","0",NA,1,1,1,246.761,87.828,567.42,988.862,NA,53.789,21.473,26.099,74.194,20.529,41.293,179.619,19.625,63.71,NA,NA,NA,NA,NA,NA,1.045,NA,22.527,61.23,85.13,171.616,69.186,112.258,74.397,27.05,39.733,60.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611.272,32.245,246.777,466.596,1.623,NA,512.336,84.661,NA,NA,39.468,NA,1045.873,377.739,795.165,90.339,NA,281.097,185.048,158.605,54.834,6877.981,2,2,"12"
"3","010404","010","0","0",NA,1,1,1,368.151,104.375,867.691,994.797,NA,55.276,22.59,48.416,82.867,77.359,61.099,303.177,48.498,75.353,NA,NA,NA,NA,NA,NA,5.601,NA,29.28,65.43,92.858,182.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.152,23.054,29.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.989,37.597,38.222,380.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,682.014,44.502,362.746,272.7,3.919,NA,76.668,33.793,NA,NA,51.348,NA,425.046,435.962,560.27,30.168,NA,141.796,NA,273.429,115.743,5884.232,1,2,"12"
"4","010453","010","0","0","020",1,1,1,386.394,62.542,1028.851,1073.46,NA,57.352,26.84,22.443,99.178,24.196,110.141,300.212,22.407,132.765,NA,NA,NA,NA,NA,NA,7.393,NA,36.229,21.629,96.418,199.784,59.027,40.495,42.549,16.739,33.212,27.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687.243,61.086,424.795,453.712,11.037,NA,129.461,190.734,NA,NA,39.071,NA,1299.751,567.342,1405.653,93.32,NA,226.373,NA,258.138,87.697,8523.302,1,2,"12"
"5","010453","020","0","0","010",5,5,5,89.06,63.04,960.618,867.526,NA,67.299,23.018,22.214,74.646,24.274,51.636,211.708,16.676,83.055,NA,NA,NA,NA,NA,NA,1.903,NA,20.592,69.654,95.815,160.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.056,59.436,50.528,NA,NA,NA,17.192,20.061,33.681,NA,NA,NA,NA,NA,NA,355.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.381,372.154,NA,2.762,NA,73.366,NA,NA,NA,116.018,NA,968.091,491.588,NA,NA,NA,351.921,NA,148.325,127.483,4674.712,1,2,"12"
"6","011332","010","0","0","020",5,5,1,75.582,47.96,957.063,882.606,NA,61.651,21.78,12.851,72.05,58.165,38.36,251.565,13.154,80.685,NA,NA,NA,NA,NA,NA,3.429,NA,24.918,62.556,82.818,161.061,34.753,66.653,36.001,NA,NA,NA,21.43,26.111,20.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.165,275.01,277.643,1953.41,344.718,46.699,NA,NA,NA,27.04,NA,854.018,290.738,1300.455,58.749,NA,226.629,NA,209.594,73.648,7991.049,2,2,"12"
"7","011332","020","0","0","010",1,1,5,341.89,71.105,583.987,686.241,NA,66.457,21.629,14.009,49.314,18.237,24.976,134.568,24.008,59.654,NA,NA,NA,NA,NA,NA,1.592,NA,16.052,47.455,66.675,145.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.436,26.473,38.314,NA,NA,NA,NA,NA,NA,31.714,25.974,29.453,NA,NA,NA,317.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,989.421,16.458,280.816,NA,1355.323,178.839,49.936,222.394,NA,NA,37.222,NA,613.346,283.842,NA,NA,NA,123.817,NA,183.955,41.684,6063.349,2,2,"12"
"8","011341","010","0","0",NA,1,1,1,177.064,59.232,643.041,697.22,NA,53.473,21.808,29.751,52.099,21.812,29.748,165.885,38.761,47.299,NA,NA,NA,NA,NA,NA,1.726,NA,21.882,68.29,99.556,120.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.21,28.048,29.274,NA,NA,NA,NA,NA,NA,28.877,24.713,27.501,NA,NA,NA,274.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.491,20.533,215.787,423.032,1.919,NA,467.524,472.304,NA,NA,43.459,NA,624.318,361.332,984.703,75.483,NA,199.238,NA,132.937,96.534,6202.552,3,2,"12"
"9","012094","010","1","0",NA,1,1,1,865.79,370.398,735.601,1351.663,NA,94.824,23.255,69.005,101.566,46.472,154.982,395.637,30.276,258.817,NA,NA,NA,NA,NA,NA,4.787,NA,58.05,46.728,145.226,270.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1455.744,63.919,1447.636,479.384,1728.458,7593.609,135.87,40.041,NA,NA,163.838,NA,1221.391,512.88,548.685,41.821,174.762,404.354,NA,553.039,87.54,19986.775,4,2,"12"
"10","012094","011","2","0",NA,1,1,1,1643.771,173.733,1166.537,1093.28,NA,107.806,22.599,42.151,146.785,25.624,142.335,396.314,35.64,216.196,NA,NA,NA,NA,NA,NA,5.592,NA,37.789,64.826,98.472,199.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1541.162,71.239,596.126,258.629,480.711,30.102,297.409,34.333,NA,NA,590.422,NA,692.088,340.343,406.079,37.099,105.234,74.8,NA,365.616,379.955,10400.286,3,2,"12"
