"","HHID","PN","OSUBHH","NSUBHH","OPN_SP","OCSR","OFAMR","OFINR","OX003_R","OX007_R","OZ077_R","OX060_R","OX065_R","OZ066_R","OX004_R","OX067_R","OZ008_R","OZ009_R","OZ010_R","OZ011_R","OZ012_R","OZ013_R","OZ014_R","OZ015_R","OZ016_R","OZ076","OZ078","OZ080","OZ081","OZ087","OZ089","OZ090","OZ092","OZ093","OZ095","OZ096","OZ098","OZ099","OZ100","OZ101","OZ102","OZ103","OZ104","OZ105","OZ106","OZ107","OZ108","OZ110","OZ112","OZ113","OZ114","OZ117","OZ118","OZ119","OZ120","OZ122","OZ123","OZ124","OZ125","OZ126","OZ127","OZ134","OZ136","OZ137","OZ138","OZ151","OZ153","OZ154","OZ155","OZ156","OZ157","OZ158","OZ159","OZ160","OZ161","OZ162","OZ163","OZ164","OZ165","OZ166","OZ167","OZ168","OZ169","OZ170","OZ171","OZ172","OZ173","OZ174","OZ175","OZ176","OZ177","OZ178","OZ179","OZ180","OZ181","OZ182","OZ183","OZ184","OZ185","OZ186","OZ187","OZ188","OZ189","OZ190","OZ198","OZ199","OZ201","OZ204","OZ205","OZ206","OZ211","OZ212","OZ213","OZ216","OZ219","OZ230","OZ231","OZ232","OX090_R","OX501_R","OX502_R","OX503_R","OX504_R","OX505_R","OX506_R","OX507_R","OX508_R","OX509_R","OX510_R","OX511_R","OX512_R","OX513_R","OX514_R","OX515_R","OX516_R","OX517_R","OX518_R","OX519_R","OX520_R","OX521_R","OX522_R","OX523_R","OX524_R","OX525_R","OZ240","OZ241","OZ242","OZ244","OZ246","OZ254","OZ255","OZ256","OZ257","OZ258","OZ260","OZ261","OZ262","OZ264","OZ265","OZ266","OZ267","OZ269","OZ270","OZ274","OZ275","OZ276","OVDATE","OVERSION","year"
"1","010097","040","0","0",NA,1,1,1,1,3,3,2,6,6,1,1948,5,1,1,3,1,1,5,5,5,1,1,5,1,3,5,5,9,2012,1,NA,5,5,5,5,5,5,5,1,5,5,5,NA,NA,NA,0,5,5,5,5,5,5,1,1,NA,5,1,NA,NA,NA,5,0,0,800000,800000,0,0,0,0,7000,7000,350000,350000,0,0,0,0,1000000,1000000,100000,100000,0,0,0,0,0,0,20000,20000,0,0,10000,10000,0,0,0,0,5000,5000,0,0,5,NA,5,1,1,NA,NA,11,5,1,5,5,1,1,1,2,1,1,1,1,2,1,1,3,1,2,2,3,2,3,2,2,3,65,52,3,2,1,5,5,1,5,114,1,1,NA,NA,NA,5,5,5,5,5,2268000,3,NA,3,5,NA,1,7,2,"14"
"2","010109","030","0","0",NA,1,1,1,1,3,3,1,6,6,1,1929,5,11,1,2,2,5,5,5,5,1,1,5,1,3,5,5,5,2012,1,NA,1,5,5,1,5,5,5,5,5,5,1,5,5,1,6,5,5,5,5,5,1,5,1,NA,5,3,1,20,40,5,0,0,550000,550000,0,0,0,0,0,0,450000,450000,0,0,0,0,400000,400000,200000,200000,0,0,0,0,0,0,50000,50000,0,0,20000,20000,0,0,0,0,10000,10000,800000,800000,1,NA,5,NA,NA,1,2,17,5,5,5,5,3,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,3,2,1,1,41,58,1,1,1,1,5,1,5,924,1,1,NA,NA,1,5,5,5,5,5,2460000,5,5,3,1,5,1,6,2,"14"
"3","010404","010","0","0",NA,1,1,1,1,3,3,2,6,6,10,1939,5,9,9,1,2,5,5,5,5,1,1,5,NA,3,5,5,4,2012,1,NA,5,5,5,1,5,1,5,5,5,5,1,5,5,1,6,5,5,5,5,5,5,1,1,NA,5,1,NA,NA,NA,5,0,0,650000,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,40000,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,5,1,1,0,0,12,1,5,5,5,3,1,2,1,1,2,1,1,1,1,2,3,2,2,2,3,2,3,2,2,1,23,7,5,1,2,5,5,1,NA,963,1,1,NA,NA,1,5,5,5,5,5,690000,4,NA,2,5,3,1,3,2,"14"
"4","010453","010","0","0","020",1,1,1,1,3,3,2,1,1,4,1934,5,4,3,1,2,5,5,5,5,1,1,1,5,1,5,5,5,2012,1,NA,5,5,5,5,5,5,5,5,5,5,1,5,2,1,5,5,5,5,1,5,5,1,1,1,5,1,NA,NA,NA,5,0,0,380000,380000,0,0,0,0,0,0,130000,130000,0,0,0,0,0,0,0,0,0,0,0,59999,0,0,0,4999,0,0,10000,10000,0,0,0,0,0,0,0,0,1,NA,1,1,1,1,2,12,5,1,5,5,3,1,1,2,2,2,2,2,1,1,2,3,1,3,3,2,2,2,2,2,2,78,33,2,1,1,5,5,1,NA,102,1,1,NA,NA,1,5,5,5,5,1,540085,5,NA,3,1,2,1,3,2,"14"
"5","010453","020","0","0","010",5,5,5,2,4,4,1,1,1,1,1932,5,3,4,3,1,5,5,5,5,1,1,1,NA,3,5,5,5,2012,1,NA,5,5,5,1,5,5,5,5,5,5,1,5,5,1,5,5,5,5,1,5,5,1,1,1,5,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,0,0,12,5,1,5,5,3,2,1,1,1,1,1,2,2,1,1,3,1,3,1,1,3,1,3,3,2,37,46,2,1,2,5,5,1,NA,689,1,1,NA,NA,1,5,5,5,1,5,NA,1,NA,5,1,3,1,3,2,"14"
"6","011332","010","0","0","020",1,5,1,1,1,1,1,3,3,8,1931,5,11,6,4,2,5,5,5,5,1,1,5,NA,3,5,5,5,2012,1,NA,5,5,5,1,1,5,5,1,5,1,1,5,5,1,28,5,5,5,5,5,5,1,1,1,5,1,NA,NA,NA,5,0,0,240000,240000,0,0,0,0,0,0,0,0,0,0,0,0,57000,57000,6350,6350,0,0,210000,210000,0,0,20000,20000,500000,500000,25000,25000,22000,22000,0,0,0,0,0,0,5,1995,1,1,1,0,0,12,5,1,5,5,1,2,2,2,2,1,2,2,2,2,2,1,3,2,2,1,2,3,2,2,3,15,20,5,2,1,1,5,2,NA,416,1,1,NA,NA,NA,5,5,5,1,5,1080350,6,5,6,1,5,1,2,2,"14"
"7","011332","020","0","0","010",5,1,5,2,2,2,2,3,3,8,1940,5,6,11,1,1,5,5,5,5,1,1,4,5,3,5,5,5,2012,1,NA,5,5,5,1,5,5,5,5,5,5,1,5,5,1,28,5,5,5,5,5,5,1,1,1,5,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,0,1,11,5,1,5,5,1,1,2,2,1,2,1,2,2,2,2,3,1,3,1,3,2,2,2,2,2,42,24,1,2,2,5,5,2,NA,562,1,1,1,NA,NA,5,5,5,1,5,NA,4,NA,4,1,3,1,2,2,"14"
"8","011341","010","0","0",NA,1,1,1,1,3,3,2,6,6,1,1939,5,5,1,1,2,5,5,5,5,1,1,5,1,3,5,5,7,2012,1,NA,5,5,5,1,5,5,5,1,5,5,1,5,5,1,7,5,5,5,5,5,1,5,1,NA,5,3,1,22,51,1,0,0,139000,139000,65650,65650,28460,28460,0,0,0,14999,0,0,0,0,38000,38000,30000,30000,0,0,0,0,2500,2500,2000,2000,150,150,2500,2500,20000,20000,0,0,7300,7300,0,0,1,NA,1,NA,NA,0,1,12,5,1,5,5,3,2,2,2,1,1,1,2,2,1,1,2,1,3,2,1,3,3,3,1,1,23,34,4,1,2,5,5,1,5,995,1,1,NA,NA,1,5,5,5,1,5,135740,4,NA,1,1,3,1,3,2,"14"
"9","012094","010","1","1",NA,1,1,1,1,3,3,1,6,6,7,1937,5,5,8,3,2,5,5,5,5,1,1,5,1,2,5,5,8,2012,1,NA,5,5,5,1,5,5,5,5,5,5,5,5,2,1,12,5,5,5,5,5,5,1,1,NA,5,1,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,1,1,1,1,3,14,1,1,5,1,1,1,2,1,1,1,1,2,1,2,2,1,3,3,3,3,2,1,3,3,3,80,100,3,2,2,1,5,1,NA,558,1,1,NA,NA,NA,5,5,5,5,5,0,4,1,5,5,5,1,3,2,"14"
"10","012094","011","2","2",NA,1,1,1,1,3,3,2,6,6,12,1942,5,4,7,3,1,5,5,8,NA,1,1,4,5,2,5,5,7,2012,1,NA,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,NA,NA,5,5,1,5,5,1,NA,1,1,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2009,1,1,1,1,0,11,1,1,5,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,3,2,3,1,13,44,6,2,1,5,5,1,NA,822,7,2,NA,NA,NA,5,1,5,5,5,0,2,NA,4,5,5,1,3,2,"14"
"11","012394","010","0","0",NA,1,1,1,1,3,3,2,6,6,3,1934,5,11,4,3,1,5,5,5,5,1,1,5,NA,3,1,5,12,2010,1,NA,5,5,5,1,5,5,5,1,5,5,1,5,2,1,15,5,5,5,5,5,5,1,1,NA,5,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,1,1,2,1,10,1,1,5,5,1,2,2,2,1,2,1,2,2,1,2,3,3,2,1,1,3,3,2,2,3,7,55,4,2,2,5,5,1,NA,507,5,1,NA,NA,NA,5,5,5,NA,NA,NA,6,NA,4,5,NA,5,7,2,"14"
"12","012979","010","0","0","020",1,1,1,1,3,1,1,1,1,12,1936,5,4,4,4,2,5,5,5,5,1,1,1,NA,2,5,5,9,2012,1,NA,5,5,5,1,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,1,5,5,5,1,NA,NA,NA,5,0,0,250000,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,30000,0,0,4000,4000,0,0,0,0,0,0,0,0,1,NA,5,1,1,0,0,12,5,1,5,5,3,1,1,2,1,1,1,2,2,1,2,2,1,2,3,2,1,3,2,2,1,67,78,1,1,2,5,5,1,NA,164,1,1,NA,NA,1,5,5,5,5,5,284000,4,NA,1,5,5,1,3,2,"14"
"13","012979","020","0","0","010",5,5,5,2,4,2,2,1,1,4,1936,5,4,4,1,1,5,5,5,5,1,1,1,5,1,5,5,9,2012,1,NA,5,5,5,1,5,1,5,5,5,5,1,5,5,1,3,5,5,5,5,5,1,1,1,1,5,3,1,6,52,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,0,5,12,1,1,5,5,3,1,2,1,1,1,2,2,1,2,2,3,3,1,1,2,3,2,2,3,3,8,37,1,1,1,5,5,1,5,348,1,1,NA,NA,1,5,5,5,5,5,NA,6,NA,5,5,5,5,3,2,"14"
"14","013062","010","0","0",NA,1,1,1,1,3,3,2,6,6,7,1935,5,3,2,3,2,5,5,5,5,1,1,5,1,2,1,5,7,2012,1,NA,5,5,5,1,1,5,5,5,1,5,1,5,5,1,8,5,5,5,5,5,5,1,1,NA,5,3,NA,NA,NA,5,0,0,75000,75000,50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,0,0,2000,2000,0,0,1,2003,1,1,1,1,1,12,1,1,5,5,1,1,1,1,2,1,1,1,2,1,1,3,1,3,1,3,3,2,1,2,1,43,44,7,2,1,5,5,1,5,605,1,1,NA,NA,NA,1,5,5,5,5,26000,6,NA,6,1,1,1,4,2,"14"
"15","013063","010","0","0",NA,1,1,1,1,3,3,2,6,6,1,1941,5,9,8,1,2,5,5,5,5,1,1,4,NA,2,5,5,5,2012,1,NA,5,5,5,1,5,5,5,5,5,5,1,5,5,1,8,5,5,5,5,5,1,5,1,NA,5,3,1,NA,NA,5,0,0,50001,149999,35000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999996,0,0,0,0,0,0,0,0,4000,4000,0,0,1,NA,5,NA,NA,0,0,17,1,1,5,5,3,2,2,2,2,2,1,1,2,2,1,1,1,3,3,3,3,2,2,3,2,27,4,6,1,1,5,5,1,1,904,1,1,1,NA,5,5,5,5,1,5,88000,5,NA,4,1,3,5,3,2,"14"
"16","013208","010","0","0",NA,1,1,1,1,3,3,2,6,1,3,1931,5,8,6,3,1,5,5,5,5,1,1,1,5,1,1,5,5,2012,1,NA,5,5,5,1,5,5,5,5,5,5,1,5,5,1,9,5,5,5,1,5,5,5,1,1,5,5,NA,NA,NA,5,0,0,500001,99999996,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,0,9999,0,0,0,0,0,0,50001,149999,0,0,0,4999,0,0,0,0,2000,2000,0,0,1,NA,5,1,NA,1,1,13,5,1,5,5,3,2,2,1,1,2,1,1,1,1,2,1,1,3,1,2,3,2,2,3,2,49,70,3,1,1,5,5,1,NA,111,1,1,NA,NA,1,5,5,5,1,5,621816,3,NA,4,5,5,5,6,2,"14"
"17","013211","010","0","0","020",1,1,1,1,3,3,1,1,1,7,1935,5,7,4,3,2,5,5,5,5,1,1,1,5,1,5,5,6,2012,1,NA,5,5,5,1,1,5,5,5,5,5,1,5,5,1,6,5,5,5,5,5,5,1,1,1,5,1,NA,NA,NA,5,0,0,0,99999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999996,0,0,5001,24999,0,0,0,0,2000,2000,0,0,1,2001,1,1,1,0,0,12,1,1,5,5,3,2,1,1,2,1,2,1,2,2,1,3,1,3,1,3,1,1,2,3,1,90,46,1,1,2,1,5,1,NA,679,1,1,NA,NA,1,5,5,5,5,5,358000,5,1,5,5,1,1,3,2,"14"
"18","013211","020","0","0","010",5,5,5,2,4,4,2,1,1,11,1934,9,4,7,1,1,5,5,5,5,1,1,1,NA,2,5,5,7,2012,1,NA,5,5,5,5,1,5,5,5,5,5,5,5,2,1,6,5,5,5,1,5,5,1,1,1,5,3,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1990,5,1,NA,0,0,10,5,1,5,5,3,2,2,1,2,2,1,2,1,2,1,2,3,2,3,2,1,2,2,2,3,77,79,1,1,1,5,5,1,5,399,5,1,1,NA,5,5,5,5,1,5,NA,4,NA,5,5,5,1,6,2,"14"
"19","013318","020","0","0",NA,1,1,1,1,3,4,1,6,1,2,1934,5,3,8,4,1,5,5,5,5,1,1,1,5,2,5,5,1,2013,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,5,5,5,5,5,5,1,1,1,5,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,2,7,16,5,5,5,5,1,1,2,2,1,2,2,2,2,2,2,2,2,3,3,3,1,1,3,1,1,31,97,2,2,2,5,5,1,5,874,1,1,NA,NA,NA,5,5,5,1,5,NA,6,NA,5,5,5,1,6,2,"14"
"20","013418","010","2","2","011",1,1,1,1,3,3,1,3,3,12,1937,5,1,9,3,1,5,5,5,5,1,1,4,NA,2,5,5,12,2012,1,NA,5,5,5,1,5,5,5,5,5,5,5,5,5,1,17,5,5,5,5,5,5,1,1,1,5,1,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000,0,0,4000,4000,0,0,0,0,3000,3000,0,0,1,NA,1,1,1,2,3,8,1,1,5,5,3,1,2,2,1,1,2,2,1,1,2,1,3,3,2,1,3,2,3,2,2,59,31,5,1,1,1,5,1,NA,582,1,1,NA,NA,1,5,5,5,5,5,5000,5,5,5,5,1,1,6,2,"14"
