"","HHID","PN","OSUBHH","NSUBHH","OPN_SP","OCSR","OFAMR","OFINR","OW303","OW311","OW314","OW306","OW310","OW309","OW312","OW319","OW320","OW321","OW307","OVDATE","OVERSION","year"
"1","010097","040","0","0",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"2","010109","030","0","0",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"3","010404","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"4","010453","010","0","0","020",1,1,1,5,2,1,1,1,NA,NA,NA,NA,NA,3,3,2,"14"
"5","010453","020","0","0","010",5,5,5,5,2,1,1,1,NA,NA,NA,NA,NA,1,3,2,"14"
"6","011332","010","0","0","020",1,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"7","011332","020","0","0","010",5,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"8","011341","010","0","0",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"9","012094","010","1","1",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"10","012094","011","2","2",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"11","012394","010","0","0",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"12","012979","010","0","0","020",1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"13","012979","020","0","0","010",5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"14","013062","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"15","013063","010","0","0",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"16","013208","010","0","0",NA,1,1,1,5,1,1,1,7,NA,NA,NA,NA,NA,1,6,2,"14"
"17","013211","010","0","0","020",1,1,1,5,2,NA,NA,NA,NA,NA,1,1,9,1,3,2,"14"
"18","013211","020","0","0","010",5,5,5,5,2,1,1,4,NA,NA,NA,NA,NA,1,6,2,"14"
"19","013318","020","0","0",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"20","013418","010","2","2","011",1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"21","013671","010","0","0","020",5,5,1,5,1,1,1,7,NA,NA,NA,NA,NA,1,6,2,"14"
"22","013671","020","0","0","010",1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,1,6,2,"14"
"23","013816","010","0","0","040",1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"24","013816","040","0","0","010",5,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"25","013817","010","1","1","011",5,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
