"","HHID","PN","OSUBHH","NSUBHH","OPN_SP","OCSR","OFAMR","OFINR","OY005","OY006","OY007","OY008","OY009","OY010","OY011","OY012","OY013","OY014","OY015","OY016","OY017","OY018","OY019","OY020","OY021","OY022","OY023","OY024","OY025","OY026","OY028","OY029","OY062","OY063","OY064","OY065","OY066","OY067","OY068","OY069","OY070","OY071","OY072","OY073","OY074","OY075","OY076","OY077","OY078","OY079","OY080","OY081","OY082","OY083","OY084","OY085","OY086","OY087","OY088","OY089","OY090","OY091","OY092","OY093","OY094","OY095","OY096","OY097","OY098","OY100","OY101","OY102","OY103","OY104","OY105","OY106","OY107","OY108","OY109","OY110","OY111","OY112","OY113","OY114","OY115","OVDATE","OVERSION","year"
"1","010097","040","0","0",NA,1,1,1,153,61,358,467,NA,39,20,25,39,17,33,166,18,36,NA,NA,NA,NA,NA,NA,1,53,27,43,39,5,13,5,NA,NA,NA,NA,NA,NA,6,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,154,191,156,102,2,45,NA,NA,NA,18,NA,401,206,372,29,NA,121,62,74,10,2984,7,2,"14"
"2","010109","030","0","0",NA,1,1,1,240,79,651,760,NA,56,21,37,97,21,38,180,23,85,NA,NA,NA,NA,NA,NA,1,80,53,80,120,13,15,9,NA,NA,NA,28,10,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,389,1,342,261,3357,455,NA,NA,NA,106,NA,1238,368,1231,117,NA,206,35,260,14,10126,6,2,"14"
"3","010404","010","0","0",NA,1,1,1,232,97,552,588,NA,47,21,26,55,19,37,141,27,46,NA,NA,NA,NA,NA,NA,1,104,57,74,47,5,7,12,NA,NA,NA,NA,NA,NA,22,22,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,288,1,332,111,2945,91,NA,NA,NA,53,NA,479,329,398,20,NA,136,NA,345,11,7018,3,2,"14"
"4","010453","010","0","0","020",1,1,1,281,45,431,556,NA,52,21,12,44,23,33,117,16,92,NA,NA,NA,NA,NA,NA,49,42,43,82,48,6,6,7,NA,NA,NA,NA,NA,NA,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,339,2,265,243,3620,88,NA,NA,NA,23,NA,524,425,1182,53,NA,146,NA,179,537,8947,3,2,"14"
"5","010453","020","0","0","010",5,5,5,65,38,460,478,NA,60,21,12,63,18,24,126,20,36,NA,NA,NA,NA,NA,NA,2,42,54,82,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,20,9,NA,NA,NA,5,6,6,NA,NA,NA,NA,NA,NA,52,NA,2,336,NA,3405,75,NA,NA,NA,46,NA,574,235,NA,NA,NA,164,NA,243,220,6344,3,2,"14"
"6","011332","010","0","0","020",1,5,1,659,63,634,709,NA,60,23,23,57,29,59,166,19,137,NA,NA,NA,NA,NA,NA,1,61,33,56,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,30,17,10,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,1,395,178,1,94,NA,NA,NA,120,NA,707,337,1134,73,NA,169,220,205,27,5826,2,2,"14"
"7","011332","020","0","0","010",5,1,5,315,107,644,916,NA,64,24,31,68,28,57,211,56,107,NA,NA,NA,NA,NA,NA,2,247,42,78,69,10,14,8,NA,NA,NA,NA,NA,NA,10,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,1027,4,466,NA,3,58,115,NA,NA,204,NA,1128,515,NA,NA,NA,98,NA,361,15,6004,2,2,"14"
"8","011341","010","0","0",NA,1,1,1,315,77,641,514,NA,54,21,32,49,21,27,131,32,44,NA,NA,NA,NA,NA,NA,1,45,51,76,50,9,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,511,1,337,347,4478,757,286,NA,NA,76,NA,910,446,892,116,NA,203,NA,232,15,11177,3,2,"14"
"9","012094","010","1","1",NA,1,1,1,387,275,501,866,NA,62,22,30,55,60,90,260,53,115,NA,NA,NA,NA,NA,NA,1,114,78,114,49,21,20,10,NA,NA,NA,28,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,675,4,1000,204,3,90,NA,NA,NA,31,NA,536,190,532,31,NA,70,NA,182,16,5693,3,2,"14"
"10","012094","011","2","2",NA,1,1,1,1001,46,474,237,3,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,80,362,NA,NA,168,NA,NA,NA,18,NA,716,NA,225,32,NA,109,NA,NA,11,3826,3,2,"14"
"11","012394","010","0","0",NA,1,1,1,537,165,1211,1266,NA,203,23,49,159,30,143,398,65,166,NA,NA,NA,NA,NA,NA,1,72,19,49,109,34,18,42,40,37,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,808,1,831,445,2,251,NA,NA,NA,97,NA,1846,454,588,62,NA,242,NA,170,21,9013,7,2,"14"
"12","012979","010","0","0","020",1,1,1,546,63,494,1131,NA,75,21,24,107,37,94,311,70,123,NA,NA,NA,NA,NA,NA,2,224,57,102,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,13,25,NA,NA,NA,16,36,9,NA,NA,NA,NA,NA,NA,126,396,2,273,133,3441,122,NA,NA,NA,26,NA,593,369,673,43,NA,72,NA,238,15,8696,3,2,"14"
"13","012979","020","0","0","010",5,5,5,104,263,813,885,NA,67,22,34,58,98,67,282,59,133,NA,NA,NA,NA,NA,NA,2,82,64,111,63,40,4,1,1,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,4,570,NA,4963,729,401,NA,NA,41,NA,1168,402,NA,NA,NA,128,NA,409,16,10913,3,2,"14"
"14","013062","010","0","0",NA,1,1,1,315,198,533,720,NA,69,22,30,53,25,54,166,31,118,NA,NA,NA,NA,NA,NA,1,95,51,78,56,9,11,8,NA,NA,NA,NA,NA,NA,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,650,1,293,295,1,250,NA,NA,NA,32,NA,635,402,636,43,NA,302,NA,271,17,5658,4,2,"14"
"15","013063","010","0","0",NA,1,1,1,337,145,645,834,NA,85,22,32,80,28,80,228,31,86,NA,NA,NA,NA,NA,NA,3,51,46,125,62,15,13,7,NA,NA,NA,NA,NA,NA,27,31,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,364,3,534,289,1437,598,366,NA,NA,60,NA,848,429,743,45,NA,193,23,379,20,8311,3,2,"14"
"16","013208","010","0","0",NA,1,1,1,401,46,379,847,672,238,21,25,55,38,54,176,27,93,NA,NA,NA,NA,NA,NA,4,51,54,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,1,923,271,NA,55,NA,NA,NA,41,NA,791,NA,731,51,200,137,NA,90,244,5583,6,2,"14"
"17","013211","010","0","0","020",1,1,1,325,70,571,608,NA,57,22,34,51,23,59,162,27,77,NA,NA,NA,NA,NA,NA,2,62,44,64,52,11,17,16,NA,NA,NA,12,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,466,1,446,180,2719,100,NA,NA,NA,49,NA,872,451,745,62,NA,143,NA,276,160,8251,3,2,"14"
"18","013211","020","0","0","010",5,5,5,99,66,658,845,NA,57,21,24,96,27,75,233,29,83,NA,NA,NA,NA,NA,NA,14,51,26,166,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,11,12,NA,NA,NA,11,10,37,NA,NA,NA,NA,NA,NA,100,NA,4,624,NA,4965,596,NA,NA,NA,36,NA,857,82,NA,NA,NA,106,NA,210,265,9426,6,2,"14"
"19","013318","020","0","0",NA,1,1,1,223,54,441,565,NA,51,23,18,93,21,41,186,29,50,NA,NA,NA,NA,NA,NA,1,46,29,62,50,11,17,7,NA,NA,NA,19,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,359,1,220,188,3,154,348,NA,NA,22,NA,593,319,555,45,176,63,NA,200,11,4571,6,2,"14"
"20","013418","010","2","2","011",1,1,1,339,59,468,503,NA,47,22,17,59,20,26,136,29,50,NA,NA,NA,NA,NA,NA,1,67,16,47,43,6,8,5,NA,NA,NA,NA,NA,NA,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,422,2,364,58,2448,93,NA,NA,NA,34,NA,425,261,347,1,NA,118,NA,226,15,6196,6,2,"14"
"21","013671","010","0","0","020",5,5,1,203,17,368,335,33,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,423,359,NA,72,NA,NA,NA,75,NA,897,NA,1401,45,NA,167,NA,46,124,4611,6,2,"14"
"22","013671","020","0","0","010",1,1,5,395,73,683,677,NA,49,22,47,113,21,31,211,44,90,NA,NA,NA,NA,NA,NA,1,68,54,74,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,28,NA,NA,NA,NA,NA,NA,6,6,7,NA,NA,NA,65,314,2,422,NA,3,806,28,NA,NA,31,NA,840,317,NA,NA,NA,167,NA,287,91,5192,6,2,"14"
"23","013816","010","0","0","040",1,5,1,343,66,784,913,NA,133,22,56,74,25,32,180,47,134,NA,NA,NA,NA,NA,NA,2,89,54,76,52,8,16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,26,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,1,344,611,1,217,39,NA,NA,56,NA,932,447,1810,235,NA,283,NA,261,65,7418,4,2,"14"
"24","013816","040","0","0","010",5,1,5,322,155,962,768,NA,68,21,41,80,27,26,180,46,66,NA,NA,NA,NA,NA,NA,2,126,56,75,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,18,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,13,30,127,594,386,421,NA,1,107,NA,NA,NA,85,NA,1137,465,NA,NA,NA,345,NA,246,18,6017,4,2,"14"
"25","013817","010","1","1","011",5,5,1,85,102,429,645,NA,55,21,24,60,18,39,146,28,58,NA,NA,NA,NA,NA,NA,1,70,50,69,52,9,29,8,NA,NA,NA,NA,NA,NA,42,37,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,2,272,320,0,54,247,NA,NA,24,NA,967,345,1278,94,NA,267,NA,267,13,5429,4,2,"14"
"26","013817","011","1","1","010",1,1,5,396,85,611,503,NA,52,21,28,61,20,15,122,24,48,NA,NA,NA,NA,NA,NA,1,75,12,30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,14,NA,NA,NA,8,15,10,NA,NA,NA,NA,NA,NA,72,313,1,297,NA,1,63,37,NA,NA,109,NA,1025,294,NA,NA,NA,188,NA,138,16,4084,4,2,"14"
"27","013817","040","2","2","041",5,1,1,176,62,429,561,NA,49,23,27,51,17,29,129,29,64,NA,NA,NA,NA,NA,NA,1,61,47,72,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,18,16,81,258,2,210,183,2,503,208,NA,NA,39,NA,1142,414,977,75,NA,121,NA,190,15,5578,4,2,"14"
"28","013817","041","2","2","040",1,5,5,326,66,574,886,NA,120,22,33,76,22,39,204,64,54,NA,NA,NA,NA,NA,NA,2,133,52,133,99,8,8,10,NA,NA,NA,11,18,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,4,519,NA,1,144,NA,NA,NA,177,NA,854,315,NA,NA,NA,145,NA,344,31,4392,4,2,"14"
"29","014081","010","0","0","040",1,5,1,171,55,546,686,NA,48,22,31,50,14,53,154,36,57,NA,NA,NA,NA,NA,NA,1,166,58,72,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,27,14,NA,NA,NA,6,5,24,NA,NA,NA,NA,NA,NA,85,NA,1,303,120,3161,656,22,NA,NA,54,NA,750,277,726,114,NA,77,24,442,463,8661,6,2,"14"
"30","014332","010","1","1",NA,1,1,1,281,71,358,517,NA,47,21,20,35,22,28,108,19,49,NA,NA,NA,NA,NA,NA,1,77,52,79,46,10,8,7,NA,NA,NA,6,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,442,1,274,170,3288,487,144,NA,NA,35,NA,823,338,786,73,NA,152,NA,211,13,8469,3,2,"14"
"31","014332","011","5","5",NA,1,1,1,184,90,474,522,NA,51,21,16,35,16,20,93,22,72,NA,NA,NA,NA,NA,NA,1,57,50,72,45,15,7,4,NA,NA,NA,NA,NA,NA,15,34,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,269,1,252,937,3,823,434,NA,NA,46,NA,762,474,356,47,NA,142,NA,77,16,5953,7,2,"14"
"32","015189","010","0","0",NA,1,1,1,369,170,916,1345,NA,71,22,31,98,30,71,244,43,140,NA,NA,NA,NA,NA,NA,2,379,70,110,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,21,79,NA,NA,NA,NA,NA,NA,31,71,34,NA,NA,NA,269,407,1,298,237,2,115,NA,NA,NA,44,NA,820,162,981,1,NA,174,NA,268,23,6374,2,2,"14"
