"","HHID","PN","PSUBHH","OSUBHH","PPN_SP","PCSR","PFAMR","PFINR","PP155","PP156","PP195","PP002","PP196","PP166","PP197","PP168","PP005","PP006","PP059","PP007","PP009","PP014","PP015","PP016","PP017","PP123","PP018","PP181","PP182","PP020","PP028","PP102","PP029","PP157","PP107","PP175","PP176","PP177","PP178","PP032","PP111","PP112","PP183","PP047","PP113","PP149","PP150","PP180","PP097","PP041","PP185","PP056","PVDATE","PVERSION","year"
"1","010395","020","0","0",NA,1,1,1,15,0,1,1,"more",90,"gained",30,80,70,40,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,90,95,NA,90,40,80,80,NA,80,30,NA,2,80,40,3,NA,3,1,7,1,"16"
"2","010451","010","0","0","020",1,1,1,14,0,1,1,"more",80,"gained",20,100,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,0,1,NA,NA,1,0,NA,1,50,1,2,40,10,3,NA,3,1,3,1,"16"
"3","010451","020","0","0","010",5,5,5,13,0,1,1,NA,NA,NA,NA,80,90,90,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,10,20,NA,30,10,10,5,NA,10,60,NA,2,70,40,2,NA,2,1,3,1,"16"
"4","010475","010","1","1",NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"16"
"5","010477","010","0","0","020",5,5,1,14,0,1,1,"less",30,"fallen",20,100,100,80,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,50,2,40,50,NA,40,20,20,60,NA,60,50,8,1,NA,NA,2,NA,3,1,3,1,"16"
"6","010477","020","0","0","010",1,1,5,10,1,1,1,NA,NA,NA,NA,999,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,50,NA,50,0,0,50,NA,50,0,NA,2,NA,10,3,NA,1,1,3,1,"16"
"7","010773","020","0","0","030",5,1,5,11,6,1,1,NA,NA,NA,NA,10,10,10,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,998,998,NA,NA,NA,998,998,NA,998,998,NA,1,NA,NA,3,NA,1,1,8,1,"16"
"8","010773","030","0","0","020",1,5,1,16,0,1,1,"less",10,"fallen",10,100,100,40,NA,1,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,40,10,NA,10,10,10,0,NA,30,20,NA,2,10,40,1,NA,3,1,8,1,"16"
"9","010822","010","0","0","040",5,5,1,14,0,1,1,"more",98,"fallen",0,100,100,100,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,85,100,NA,75,20,0,0,NA,0,90,NA,2,10,0,2,NA,3,1,10,1,"16"
"10","010822","040","0","0","010",1,1,5,12,1,1,1,NA,NA,NA,NA,100,100,80,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,90,NA,80,70,0,20,NA,20,998,NA,1,NA,NA,3,NA,3,1,10,1,"16"
