"","HHID","PN","MB014","MC150","MC270M1","MC018","MZ216","MQ015","MQ020","MQ025","MQ030","MQ035","MQ066","MQ107","MQ115","MQ121"
"1","000003","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","000003","020",NA,5,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","010001","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,300,NA,NA
"4","010003","030",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,761,NA,NA
"5","010004","010",NA,5,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","010004","040",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","010013","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","010013","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","010013","040",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","010013","040",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","010038","010",NA,5,2,5,16,20000,NA,NA,NA,NA,NA,NA,NA,NA
"12","010038","040",NA,5,5,5,16,20000,NA,NA,NA,NA,NA,NA,NA,NA
"13","010050","010",NA,5,NA,5,17,NA,99999998,NA,NA,NA,NA,NA,NA,NA
"14","010059","020",NA,5,NA,1,16,225000,NA,NA,NA,NA,NA,NA,NA,NA
"15","010059","030",NA,5,NA,5,17,225000,NA,NA,NA,NA,NA,NA,NA,NA
"16","010063","010",NA,1,NA,5,9,NA,NA,NA,NA,NA,NA,488,NA,NA
"17","010075","020",NA,1,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","010083","020",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","010097","040",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","010099","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","010109","030",NA,5,NA,1,17,NA,24000,NA,NA,NA,NA,NA,NA,NA
"22","010147","010",NA,1,NA,5,8,NA,NA,NA,NA,NA,NA,400,NA,NA
"23","010196","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","010206","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,340,NA,NA
"25","010210","020",NA,1,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","010225","010",NA,5,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","010281","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","010299","010",NA,5,2,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
